Iteration,GA,ABC,Hybrid
1,1.0,1.0,0.5408572403829608
2,1.0,1.0,0.5408572403829608
3,0.9698933726402649,1.0,0.5408572403829608
4,1.0,1.0,0.5408572403829608
5,0.9952639564251529,1.0,0.5408572403829608
6,0.9952639564251529,1.0,0.5408572403829608
7,0.9673968647914719,1.0,0.5408572403829608
8,0.9673968647914719,1.0,0.5408572403829608
9,0.9673968647914719,1.0,0.5408572403829608
10,0.9673968647914719,1.0,0.5408572403829608
11,0.9326942609551555,1.0,0.5408572403829608
12,0.8973422632530267,1.0,0.5408572403829608
13,0.8973422632530267,1.0,0.5408572403829608
14,0.9093497800842887,1.0,0.5408572403829608
15,0.9093938951476594,1.0,0.5408572403829608
16,0.9093938951476594,1.0,0.5408572403829608
17,0.9093938951476594,1.0,0.5408572403829608
18,0.9015092065498056,1.0,0.5408572403829608
19,0.8619344112085845,1.0,0.5408572403829608
20,0.848045112199481,1.0,0.5408572403829608
21,0.848045112199481,1.0,0.5408572403829608
22,0.848045112199481,1.0,0.5408572403829608
23,0.848045112199481,1.0,0.5408572403829608
24,0.8445465125590047,1.0,0.5408572403829608
25,0.8445465125590047,1.0,0.5408572403829608
26,0.7573152122305816,1.0,0.5408572403829608
27,0.7573152122305816,1.0,0.5408572403829608
28,0.7314957881040025,1.0,0.5408572403829608
29,0.7314957881040025,0.9990251851030753,0.5408572403829608
30,0.7314957881040025,0.9990251851030753,0.5408572403829608
31,0.7314957881040025,0.9990251851030753,0.5408572403829608
32,0.7314957881040025,0.9970317280843471,0.5408572403829608
33,0.7168709862948339,0.9970317280843471,0.5408572403829608
34,0.7168709862948339,0.9970317280843471,0.5408572403829608
35,0.7168709862948339,0.9970317280843471,0.5408572403829608
36,0.7168709862948339,0.9969401461696381,0.5408572403829608
37,0.6748908583669421,0.9969401461696381,0.5408572403829608
38,0.6748908583669421,0.9969401461696381,0.5408572403829608
39,0.6748908583669421,0.9969401461696381,0.5408572403829608
40,0.6748908583669421,0.9969401461696381,0.5408572403829608
41,0.6748908583669421,0.9969401461696381,0.5408572403829608
42,0.6619195335391684,0.9969401461696381,0.4891317628100802
43,0.648213264913175,0.9969401461696381,0.4891317628100802
44,0.648213264913175,0.9969401461696381,0.4891317628100802
45,0.645891019846174,0.9969401461696381,0.4891317628100802
46,0.645891019846174,0.9969401461696381,0.4891317628100802
47,0.5757277202560563,0.9969401461696381,0.4891317628100802
48,0.5952477671347756,0.9969401461696381,0.4891317628100802
49,0.5961696306416195,0.9969401461696381,0.4891317628100802
50,0.5961696306416195,0.9969401461696381,0.4891317628100802
51,,,0.4891317628100802
52,,,0.4891317628100802
53,,,0.4891317628100802
54,,,0.4891317628100802
55,,,0.4891317628100802
56,,,0.4891317628100802
57,,,0.4891317628100802
58,,,0.4891317628100802
59,,,0.4891317628100802
60,,,0.4891317628100802
61,,,0.4891317628100802
62,,,0.4891317628100802
63,,,0.4891317628100802
64,,,0.4891317628100802
65,,,0.4891317628100802
66,,,0.4891317628100802
67,,,0.4891317628100802
68,,,0.4891317628100802
69,,,0.4891317628100802
70,,,0.4891317628100802
71,,,0.4891317628100802
72,,,0.4891317628100802
